Sostres € Sostres € NPCNSP0 € sˈɔstɾəs
souvenir € souvenir € NCMS000 € suβənˈiɾ
souvenirs € souvenir € NCMP000 € suβənˈiɾs
sovent € sovent € ZRG € suβˈen
soviet € soviet € NCMS000 € suβiˈɛt
sòviet € sòviet € NCMS000 € sˈɔβiət
soviètic € soviètic € AQ0MS0 € suβiˈɛtik
soviètic € soviètic € NCMS000 € suβiˈɛtik
Soviètica € Soviètica € NPFSG00 € suβiˈɛtikə
soviètica € soviètic € AQ0FS0 € suβiˈɛtikə
soviètica € soviètic € NCFS000 € suβiˈɛtikə
soviètics € soviètic € AQ0MP0 € suβiˈɛtiks
soviètics € soviètic € NCMP000 € suβiˈɛtiks
soviètiques € soviètic € AQ0FP0 € suβiˈɛtikəs
soviètiques € soviètic € NCFP000 € suβiˈɛtikəs
sovietitzar € sovietitzar € VMN00000 € suβiətidzˈa
soviets € soviet € NCMP000 € suβiˈɛts
sòviets € sòviet € NCMP000 € sˈɔβiəts
sovinada € sovinada € NCFS000 € suβinˈaðə
sovinades € sovinada € NCFP000 € suβinˈaðəs
sovint € sovint € ZRG € suβˈin
sovintegem € sovintejar € VMIP1P00 € suβintəʒˈɛm
sovintegem € sovintejar € VMM01P00 € suβintəʒˈɛm
sovintegem € sovintejar € VMSP1P00 € suβintəʒˈɛm
sovintegen € sovintejar € VMIP3P00 € suβintˈɛʒən
sovinteges € sovintejar € VMIP2S00 € suβintˈɛʒəs
sovintegés € sovintejar € VMSI1S01 € suβintəʒˈes
sovintegéssim € sovintejar € VMSI1P02 € suβintəʒˈesim
sovintegessin € sovintejar € VMSI3P02 € suβintəʒˈesin
sovintegessis € sovintejar € VMSI2S02 € suβintəʒˈesis
sovintegéssiu € sovintejar € VMSI2P02 € suβintəʒˈesiw
sovintegeu € sovintejar € VMIP2P00 € suβintəʒˈɛw
sovintegeu € sovintejar € VMM02P0X € suβintəʒˈɛw
sovintegeu € sovintejar € VMSP2P00 € suβintəʒˈɛw
sovintegi € sovintejar € VMM03S0Y € suβintˈɛʒi
sovintegi € sovintejar € VMSP1S0Y € suβintˈɛʒi
sovintegí € sovintejar € VMIS1S00 € suβintəʒˈi
sovintegin € sovintejar € VMM03P0Y € suβintˈɛʒin
sovintegin € sovintejar € VMSP3P0Y € suβintˈɛʒin
sovintegis € sovintejar € VMSP2S0Y € suβintˈɛʒis
sovinteja € sovintejar € VMIP3S00 € suβintˈɛʒə
sovinteja € sovintejar € VMM02S00 € suβintˈɛʒə
sovintejà € sovintejar € VMIS3S00 € suβintəʒˈa
sovintejada € sovintejar € VMP00SF0 € suβintəʒˈaðə
sovintejades € sovintejar € VMP00PF0 € suβintəʒˈaðəs
sovintejant € sovintejar € VMG00000 € suβintəʒˈan
sovintejar € sovintejar € VMN00000 € suβintəʒˈa
sovintejarà € sovintejar € VMIF3S00 € suβintəʒəɾˈa
sovintejaran € sovintejar € VMIF3P00 € suβintəʒəɾˈan
sovintejaràs € sovintejar € VMIF2S00 € suβintəʒəɾˈas
sovintejaré € sovintejar € VMIF1S00 € suβintəʒəɾˈe
sovintejarem € sovintejar € VMIF1P00 € suβintəʒəɾˈɛm
sovintejàrem € sovintejar € VMIS1P00 € suβintəʒˈaɾəm
sovintejaren € sovintejar € VMIS3P00 € suβintəʒˈaɾən
sovintejares € sovintejar € VMIS2S00 € suβintəʒˈaɾəs
sovintejareu € sovintejar € VMIF2P00 € suβintəʒəɾˈɛw
sovintejàreu € sovintejar € VMIS2P00 € suβintəʒˈaɾəw
sovintejaria € sovintejar € VMCC1S00 € suβintəʒəɾˈiə
sovintejaríem € sovintejar € VMCC1P00 € suβintəʒəɾˈiəm
sovintejarien € sovintejar € VMCC3P00 € suβintəʒəɾˈiən
sovintejaries € sovintejar € VMCC2S00 € suβintəʒəɾˈiəs
sovintejaríeu € sovintejar € VMCC2P00 € suβintəʒəɾˈiəw
sovintejat € sovintejar € VMP00SM0 € suβintəʒˈat
sovintejats € sovintejar € VMP00PM0 € suβintəʒˈats
sovintejava € sovintejar € VMII1S00 € suβintəʒˈaβə
sovintejàvem € sovintejar € VMII1P00 € suβintəʒˈaβəm
sovintejaven € sovintejar € VMII3P00 € suβintəʒˈaβən
sovintejaves € sovintejar € VMII2S00 € suβintəʒˈaβəs
sovintejàveu € sovintejar € VMII2P00 € suβintəʒˈaβəw
sovintejo € sovintejar € VMIP1S0C € suβintˈɛʒu
sovkhoz € sovkhoz € NCMS000 € supkˈoz
Soweto € Soweto € NPCSG00 € suβˈɛtu
Spa € Spa € NPCSG00 € spˈa
spa € spa € NCMS000 € spˈa
SpaceX € SpaceX € NPCNO00 € spˈasə ˈiks
Spandau € Spandau € NPCSG00 € spəndˈaw
Sparta € Sparta € NPMSO00 € spˈartə
Spartak € Spartak € NPMSO00 € spərtˈak
spas € spa € NCMP000 € spˈas
Spasski € Spasski € NPCNSP0 € spˈaski
speaker € speaker € NCMS000 € speəkˈe
speakers € speaker € NCMP000 € speəkˈes
Spencer € Spencer € NPCNSP0 € spˈɛnsə
spessartina € spessartina € NCFS000 € spəsərtˈinə
spessartines € spessartina € NCFP000 € spəsərtˈinəs
Spiderman € Spiderman € NPMSSP0 € spiðərmˈan
Spielberg € Spielberg € NPCNSP0 € spiəlβˈɛrk
spin € spin € NCMS000 € spˈin
Spinea € Spinea € NPCSG00 € spinˈeə
Spinoza € Spinoza € NPCNSP0 € spinˈozə
spins € spin € NCMP000 € spˈins
Spitzbergen € Spitzbergen € NPFNG00 € spidzβˈɛrʒən
Split € Split € NPCSG00 € splˈit
Spohr € Spohr € NPCNSP0 € spˈɔ
Spokane € Spokane € NPCSG00 € spukˈanə
Spoleto € Spoleto € NPCSG00 € spulˈɛtu
Spontini € Spontini € NPCNSP0 € spuntˈini
Sporting € Sporting € NPMSO00 € spurtˈiŋ
Spotify € Spotify € NPMSO00 € spˈatifˌai
Spratly € Spratly € NPFPG00 € spɾˈadli
Spree € Spree € NPCSG00 € spɾˈeə
Springfield € Springfield € NPCSG00 € spɾiŋkfiˈɛl
Springs € Springs € NPCSG00 € spɾˈiŋs
Sputnik € Sputnik € NPMNO00 € əspudnˈik
SQLite € SQLite € NPCNO00 € ˌesəkˈu lˈitə
Squillace € Squillace € NPCSG00 € skiʎˈasə
Srebrenica € Srebrenica € NPCSG00 € zrəβɾənˈikə
Sri € Sri € NPCSG00 € zrˈi
Srinagar € Srinagar € NPCSG00 € zrinəɣˈa
staccato € staccato € NCMS000 € stəkkˈatu
staff € staff € NCMS000 € stˈaf
Stafford € Stafford € NPCNSP0 € stəfˈɔr
Staffordshire € Staffordshire € NPCSG00 € stəfurtʃˈiɾə
staffs € staff € NCMP000 € stˈafs
Stains € Stains € NPCSG00 € stəˈins
stakhanovisme € stakhanovisme € NCMS000 € stəkənuβˈizmə
Stalin € Stalin € NPCNSP0 € əstˈalin
Stalingrad € Stalingrad € NPCSG00 € stəliŋɡɾˈat
Stallman € Stallman € NPCNSP0 € stəʎmˈan
Stamford € Stamford € NPCSG00 € stəɱfˈɔr
Stanford € Stanford € NPCNSP0 € stˈaɱfət
Starbucks € Starbucks € NPMNO00 € stərβˈuks
StarCraft € StarCraft € NPMNO00 € stˈa kɾˈaft
Starhemberg € Starhemberg € NPCNSP0 € stərəmbˈɛrk
start-up € start-up € NCFS000 € stˈartˈup
Stavanger € Stavanger € NPCSG00 € stəβənʒˈe
stavkirke € stavkirke € NCFS000 € stəpkˈirkə
steampunk € steampunk € NCMS000 € steəmpˈuŋk
Steiner € Steiner € NPCNSP0 € stəjnˈe
