coc € coure € VMIP1S00 € kˈɔk
cohabitis € cohabitar € VMSP2S0Y € kuəβˈitis
cohabito € cohabitar € VMIP1S0C € kuəβˈitu
Cohèlet € Cohèlet € NPMSO00 € kuˈɛlət
Cohen € Cohen € NPCNSP0 € kˈawən
coherència € coherència € NCFS000 € kuəɾˈɛnsiə
coherències € coherència € NCFP000 € kuəɾˈɛnsiəs
coherent € coherent € AQ0CS0 € kuəɾˈen
coherentment € coherentment € ZRG € kuəɾəmmˈen
coherents € coherent € AQ0CP0 € kuəɾˈens
cohereu € cohereu € NCMS000 € kuəɾˈɛw
cohereua € cohereu € NCFS000 € kuəɾˈɛwə
cohereues € cohereu € NCFP000 € kuəɾˈɛwəs
cohereus € cohereu € NCMP000 € kuəɾˈɛws
cohereva € cohereva € NCFS000 € kuəɾˈeβə
cohereves € cohereva € NCFP000 € kuəɾˈeβəs
cohesió € cohesió € NCFS000 € kuəziˈo
cohesiona € cohesionar € VMIP3S00 € kuəziˈonə
cohesiona € cohesionar € VMM02S00 € kuəziˈonə
cohesionà € cohesionar € VMIS3S00 € kuəziunˈa
cohesionada € cohesionar € VMP00SF0 € kuəziunˈaðə
cohesionades € cohesionar € VMP00PF0 € kuəziunˈaðəs
cohesionant € cohesionar € VMG00000 € kuəziunˈan
cohesionar € cohesionar € VMN00000 € kuəziunˈa
cohesionarà € cohesionar € VMIF3S00 € kuəziunəɾˈa
cohesionaran € cohesionar € VMIF3P00 € kuəziunəɾˈan
cohesionaràs € cohesionar € VMIF2S00 € kuəziunəɾˈas
cohesionaré € cohesionar € VMIF1S00 € kuəziunəɾˈe
cohesionarem € cohesionar € VMIF1P00 € kuəziunəɾˈɛm
cohesionàrem € cohesionar € VMIS1P00 € kuəziunˈaɾəm
cohesionaren € cohesionar € VMIS3P00 € kuəziunˈaɾən
cohesionares € cohesionar € VMIS2S00 € kuəziunˈaɾəs
cohesionareu € cohesionar € VMIF2P00 € kuəziunəɾˈɛw
cohesionàreu € cohesionar € VMIS2P00 € kuəziunˈaɾəw
cohesionaria € cohesionar € VMCC1S00 € kuəziunəɾˈiə
cohesionaríem € cohesionar € VMCC1P00 € kuəziunəɾˈiəm
cohesionarien € cohesionar € VMCC3P00 € kuəziunəɾˈiən
cohesionaries € cohesionar € VMCC2S00 € kuəziunəɾˈiəs
cohesionaríeu € cohesionar € VMCC2P00 € kuəziunəɾˈiəw
cohesionat € cohesionar € VMP00SM0 € kuəziunˈat
cohesionats € cohesionar € VMP00PM0 € kuəziunˈats
cohesionava € cohesionar € VMII1S00 € kuəziunˈaβə
cohesionàvem € cohesionar € VMII1P00 € kuəziunˈaβəm
cohesionaven € cohesionar € VMII3P00 € kuəziunˈaβən
cohesionaves € cohesionar € VMII2S00 € kuəziunˈaβəs
cohesionàveu € cohesionar € VMII2P00 € kuəziunˈaβəw
cohesionem € cohesionar € VMIP1P00 € kuəziunˈɛm
cohesionem € cohesionar € VMM01P00 € kuəziunˈɛm
cohesionem € cohesionar € VMSP1P00 € kuəziunˈɛm
cohesionen € cohesionar € VMIP3P00 € kuəziˈonən
cohesiones € cohesionar € VMIP2S00 € kuəziˈonəs
cohesionés € cohesionar € VMSI1S01 € kuəziunˈes
cohesionéssim € cohesionar € VMSI1P02 € kuəziunˈesim
cohesionessin € cohesionar € VMSI3P02 € kuəziunˈesin
cohesionessis € cohesionar € VMSI2S02 € kuəziunˈesis
cohesionéssiu € cohesionar € VMSI2P02 € kuəziunˈesiw
cohesioneu € cohesionar € VMIP2P00 € kuəziunˈɛw
cohesioneu € cohesionar € VMM02P0X € kuəziunˈɛw
cohesioneu € cohesionar € VMSP2P00 € kuəziunˈɛw
cohesioni € cohesionar € VMM03S0Y € kuəziˈɔni
cohesioni € cohesionar € VMSP1S0Y € kuəziˈɔni
cohesioní € cohesionar € VMIS1S00 € kuəziunˈi
cohesionin € cohesionar € VMM03P0Y € kuəziˈɔnin
cohesionin € cohesionar € VMSP3P0Y € kuəziˈɔnin
cohesionis € cohesionar € VMSP2S0Y € kuəziˈɔnis
cohesiono € cohesionar € VMIP1S0C € kuəziˈonu
cohesions € cohesió € NCFP000 € kuəziˈons
cohesiu € cohesiu € AQ0MS0 € kuəzˈiw
cohesius € cohesiu € AQ0MP0 € kuəzˈiws
cohesiva € cohesiu € AQ0FS0 € kuəzˈiβə
cohesives € cohesiu € AQ0FP0 € kuəzˈiβəs
cohesor € cohesor € NCMS000 € kuəzˈo
cohibeix € cohibir € VMIP3S00 € kuiβˈɛʃ
cohibeix € cohibir € VMM02S00 € kuiβˈɛʃ
cohibeixen € cohibir € VMIP3P00 € kuiβˈɛʃən
cohibeixes € cohibir € VMIP2S00 € kuiβˈɛʃəs
cohibeixi € cohibir € VMM03S0Y € kuiβˈɛʃi
cohibeixi € cohibir € VMSP1S0Y € kuiβˈɛʃi
cohibeixin € cohibir € VMM03P0Y € kuiβˈɛʃin
cohibeixin € cohibir € VMSP3P0Y € kuiβˈɛʃin
cohibeixis € cohibir € VMSP2S0Y € kuiβˈɛʃis
cohibeixo € cohibir € VMIP1S0C € kuiβˈɛʃu
cohibí € cohibir € VMIS1S00 € kuiβˈi
cohibia € cohibir € VMII1S00 € kuiβˈiə
cohibició € cohibició € NCFS000 € kuiβisiˈo
cohibicions € cohibició € NCFP000 € kuiβisiˈons
cohibida € cohibir € VMP00SF0 € kuiβˈiðə
cohibides € cohibir € VMP00PF0 € kuiβˈiðəs
cohibidor € cohibidor € AQ0MS0 € kuiβiðˈo
cohibidora € cohibidor € AQ0FS0 € kuiβiðˈoɾə
cohibidores € cohibidor € AQ0FP0 € kuiβiðˈoɾəs
cohibidors € cohibidor € AQ0MP0 € kuiβiðˈos
cohibíem € cohibir € VMII1P00 € kuiβˈiəm
cohibien € cohibir € VMII3P00 € kuiβˈiən
cohibies € cohibir € VMII2S00 € kuiβˈiəs
cohibíeu € cohibir € VMII2P00 € kuiβˈiəw
cohibim € cohibir € VMIP1P00 € kuiβˈim
cohibim € cohibir € VMM01P00 € kuiβˈim
cohibim € cohibir € VMSP1P00 € kuiβˈim
cohibint € cohibir € VMG00000 € kuiβˈin
cohibir € cohibir € VMN00000 € kuiβˈi
cohibirà € cohibir € VMIF3S00 € kuiβiɾˈa
cohibiran € cohibir € VMIF3P00 € kuiβiɾˈan
cohibiràs € cohibir € VMIF2S00 € kuiβiɾˈas
cohibiré € cohibir € VMIF1S00 € kuiβiɾˈe
cohibirem € cohibir € VMIF1P00 € kuiβiɾˈɛm
cohibírem € cohibir € VMIS1P00 € kuiβˈiɾəm
cohibiren € cohibir € VMIS3P00 € kuiβˈiɾən
cohibires € cohibir € VMIS2S00 € kuiβˈiɾəs
cohibireu € cohibir € VMIF2P00 € kuiβiɾˈɛw
cohibíreu € cohibir € VMIS2P00 € kuiβˈiɾəw
cohibiria € cohibir € VMCC1S00 € kuiβiɾˈiə
cohibiríem € cohibir € VMCC1P00 € kuiβiɾˈiəm
cohibirien € cohibir € VMCC3P00 € kuiβiɾˈiən
cohibiries € cohibir € VMCC2S00 € kuiβiɾˈiəs
cohibiríeu € cohibir € VMCC2P00 € kuiβiɾˈiəw
cohibís € cohibir € VMSI1S01 € kuiβˈis
cohibíssim € cohibir € VMSI1P02 € kuiβˈisim
cohibissin € cohibir € VMSI3P02 € kuiβˈisin
cohibissis € cohibir € VMSI2S02 € kuiβˈisis
cohibíssiu € cohibir € VMSI2P02 € kuiβˈisiw
cohibit € cohibir € VMP00SM0 € kuiβˈit
cohibits € cohibir € VMP00PM0 € kuiβˈits
cohibiu € cohibir € VMIP2P00 € kuiβˈiw
cohibiu € cohibir € VMM02P00 € kuiβˈiw
cohibiu € cohibir € VMSP2P00 € kuiβˈiw
cohipònim € cohipònim € NCMS000 € kuipˈɔnim
cohiponímia € cohiponímia € NCFS000 € kuipunˈimiə
cohiponímies € cohiponímia € NCFP000 € kuipunˈimiəs
cohipònims € cohipònim € NCMP000 € kuipˈɔnims
cohoba € cohobar € VMIP3S00 € kuˈoβə
cohoba € cohobar € VMM02S00 € kuˈoβə
cohobà € cohobar € VMIS3S00 € kuuβˈa
cohobació € cohobació € NCFS000 € kuuβəsiˈo
cohobacions € cohobació € NCFP000 € kuuβəsiˈons
cohobada € cohobar € VMP00SF0 € kuuβˈaðə
cohobades € cohobar € VMP00PF0 € kuuβˈaðəs
cohobant € cohobar € VMG00000 € kuuβˈan
cohobar € cohobar € VMN00000 € kuuβˈa
cohobarà € cohobar € VMIF3S00 € kuuβəɾˈa
cohobaran € cohobar € VMIF3P00 € kuuβəɾˈan
cohobaràs € cohobar € VMIF2S00 € kuuβəɾˈas
cohobaré € cohobar € VMIF1S00 € kuuβəɾˈe
cohobarem € cohobar € VMIF1P00 € kuuβəɾˈɛm
cohobàrem € cohobar € VMIS1P00 € kuuβˈaɾəm
cohobaren € cohobar € VMIS3P00 € kuuβˈaɾən
cohobares € cohobar € VMIS2S00 € kuuβˈaɾəs
cohobareu € cohobar € VMIF2P00 € kuuβəɾˈɛw
cohobàreu € cohobar € VMIS2P00 € kuuβˈaɾəw
cohobaria € cohobar € VMCC1S00 € kuuβəɾˈiə
cohobaríem € cohobar € VMCC1P00 € kuuβəɾˈiəm
cohobarien € cohobar € VMCC3P00 € kuuβəɾˈiən
cohobaries € cohobar € VMCC2S00 € kuuβəɾˈiəs
cohobaríeu € cohobar € VMCC2P00 € kuuβəɾˈiəw
cohobat € cohobar € VMP00SM0 € kuuβˈat
cohobats € cohobar € VMP00PM0 € kuuβˈats
cohobava € cohobar € VMII1S00 € kuuβˈaβə
cohobàvem € cohobar € VMII1P00 € kuuβˈaβəm
cohobaven € cohobar € VMII3P00 € kuuβˈaβən
cohobaves € cohobar € VMII2S00 € kuuβˈaβəs
cohobàveu € cohobar € VMII2P00 € kuuβˈaβəw
cohobem € cohobar € VMIP1P00 € kuuβˈɛm
cohobem € cohobar € VMM01P00 € kuuβˈɛm
cohobem € cohobar € VMSP1P00 € kuuβˈɛm
cohoben € cohobar € VMIP3P00 € kuˈoβən
cohobes € cohobar € VMIP2S00 € kuˈoβəs
cohobés € cohobar € VMSI1S01 € kuuβˈes
cohobéssim € cohobar € VMSI1P02 € kuuβˈesim
cohobessin € cohobar € VMSI3P02 € kuuβˈesin
cohobessis € cohobar € VMSI2S02 € kuuβˈesis
cohobéssiu € cohobar € VMSI2P02 € kuuβˈesiw
cohobeu € cohobar € VMIP2P00 € kuuβˈɛw
cohobeu € cohobar € VMM02P0X € kuuβˈɛw
cohobeu € cohobar € VMSP2P00 € kuuβˈɛw
cohobi € cohobar € VMM03S0Y € kuˈɔβi
cohobi € cohobar € VMSP1S0Y € kuˈɔβi
cohobí € cohobar € VMIS1S00 € kuuβˈi
cohobin € cohobar € VMM03P0Y € kuˈoβin
cohobin € cohobar € VMSP3P0Y € kuˈoβin
cohobis € cohobar € VMSP2S0Y € kuˈɔβis
cohobo € cohobar € VMIP1S0C € kuˈoβu
cohomologia € cohomologia € NCFS000 € kuumuluʒˈiə
cohonesta € cohonestar € VMIP3S00 € kuunˈestə
cohonesta € cohonestar € VMM02S00 € kuunˈestə
cohonestà € cohonestar € VMIS3S00 € kuunəstˈa
cohonestada € cohonestar € VMP00SF0 € kuunəstˈaðə
cohonestades € cohonestar € VMP00PF0 € kuunəstˈaðəs
cohonestament € cohonestament € NCMS000 € kuunəstəmˈen
cohonestaments € cohonestament € NCMP000 € kuunəstəmˈens
cohonestant € cohonestar € VMG00000 € kuunəstˈan
cohonestar € cohonestar € VMN00000 € kuunəstˈa
cohonestarà € cohonestar € VMIF3S00 € kuunəstəɾˈa
cohonestaran € cohonestar € VMIF3P00 € kuunəstəɾˈan
cohonestaràs € cohonestar € VMIF2S00 € kuunəstəɾˈas
cohonestaré € cohonestar € VMIF1S00 € kuunəstəɾˈe
cohonestarem € cohonestar € VMIF1P00 € kuunəstəɾˈɛm
cohonestàrem € cohonestar € VMIS1P00 € kuunəstˈaɾəm
cohonestaren € cohonestar € VMIS3P00 € kuunəstˈaɾən
cohonestares € cohonestar € VMIS2S00 € kuunəstˈaɾəs
cohonestareu € cohonestar € VMIF2P00 € kuunəstəɾˈɛw
cohonestàreu € cohonestar € VMIS2P00 € kuunəstˈaɾəw
cohonestaria € cohonestar € VMCC1S00 € kuunəstəɾˈiə
cohonestaríem € cohonestar € VMCC1P00 € kuunəstəɾˈiəm
cohonestarien € cohonestar € VMCC3P00 € kuunəstəɾˈiən
cohonestaries € cohonestar € VMCC2S00 € kuunəstəɾˈiəs
cohonestaríeu € cohonestar € VMCC2P00 € kuunəstəɾˈiəw
cohonestat € cohonestar € VMP00SM0 € kuunəstˈat
cohonestats € cohonestar € VMP00PM0 € kuunəstˈats
cohonestava € cohonestar € VMII1S00 € kuunəstˈaβə
cohonestàvem € cohonestar € VMII1P00 € kuunəstˈaβəm
cohonestaven € cohonestar € VMII3P00 € kuunəstˈaβən
cohonestaves € cohonestar € VMII2S00 € kuunəstˈaβəs
cohonestàveu € cohonestar € VMII2P00 € kuunəstˈaβəw
cohonestem € cohonestar € VMIP1P00 € kuunəstˈɛm
cohonestem € cohonestar € VMM01P00 € kuunəstˈɛm
cohonestem € cohonestar € VMSP1P00 € kuunəstˈɛm
cohonesten € cohonestar € VMIP3P00 € kuunˈestən
cohonestes € cohonestar € VMIP2S00 € kuunˈestəs
cohonestés € cohonestar € VMSI1S01 € kuunəstˈes
cohonestéssim € cohonestar € VMSI1P02 € kuunəstˈesim
cohonestessin € cohonestar € VMSI3P02 € kuunəstˈesin
cohonestessis € cohonestar € VMSI2S02 € kuunəstˈesis
cohonestéssiu € cohonestar € VMSI2P02 € kuunəstˈesiw
cohonesteu € cohonestar € VMIP2P00 € kuunəstˈɛw
cohonesteu € cohonestar € VMM02P0X € kuunəstˈɛw
cohonesteu € cohonestar € VMSP2P00 € kuunəstˈɛw
cohonesti € cohonestar € VMM03S0Y € kuunˈesti
cohonesti € cohonestar € VMSP1S0Y € kuunˈesti
cohonestí € cohonestar € VMIS1S00 € kuunəstˈi
cohonestin € cohonestar € VMM03P0Y € kuunˈestin
cohonestin € cohonestar € VMSP3P0Y € kuunˈestin
cohonestis € cohonestar € VMSP2S0Y € kuunˈestis
cohonesto € cohonestar € VMIP1S0C € kuunˈestu
cohort € cohort € NCFS000 € kuˈɔr
cohortatiu € cohortatiu € AQ0MS0 € kuurtətˈiw
cohortatius € cohortatiu € AQ0MP0 € kuurtətˈiws
cohortativa € cohortatiu € AQ0FS0 € kuurtətˈiβə
cohortatives € cohortatiu € AQ0FP0 € kuurtətˈiβəs
cohorts € cohort € NCFP000 € kuˈɔrs
coi € coi € NCMS000 € kˈoj
coïa € coure € VMII1S00 € kuˈiə
coíem € coure € VMII1P00 € kuˈiəm
coïen € coure € VMII3P00 € kuˈiən
coïes € coure € VMII2S00 € kuˈiəs
coíeu € coure € VMII2P00 € kuˈiəw
coiloníquia € coiloníquia € NCFS000 € kujlunˈikiə
Coimbatore € Coimbatore € NPCSG00 € kujmbətˈɔɾə
Coïmbra € Coïmbra € NPCSG00 € kuˈimbɾə
Coín € Coín € NPCSG00 € kuˈin
coincideix € coincidir € VMIP3S00 € kuinsiðˈɛʃ
coincideix € coincidir € VMM02S00 € kuinsiðˈɛʃ
coincideixen € coincidir € VMIP3P00 € kuinsiðˈɛʃən
coincideixes € coincidir € VMIP2S00 € kuinsiðˈɛʃəs
coincideixi € coincidir € VMM03S0Y € kuinsiðˈɛʃi
coincideixi € coincidir € VMSP1S0Y € kuinsiðˈɛʃi
coincideixin € coincidir € VMM03P0Y € kuinsiðˈɛʃin
coincideixin € coincidir € VMSP3P0Y € kuinsiðˈɛʃin
coincideixis € coincidir € VMSP2S0Y € kuinsiðˈɛʃis
coincideixo € coincidir € VMIP1S0C € kuinsiðˈɛʃu
coincidència € coincidència € NCFS000 € kuinsiðˈɛnsiə
coincidències € coincidència € NCFP000 € kuinsiðˈɛnsiəs
coincident € coincident € AQ0CS0 € kuinsiðˈen
coincidents € coincident € AQ0CP0 € kuinsiðˈens
coincidí € coincidir € VMIS1S00 € kuinsiðˈi
coincidia € coincidir € VMII1S00 € kuinsiðˈiə
coincidida € coincidir € VMP00SF0 € kuinsiðˈiðə
coincidides € coincidir € VMP00PF0 € kuinsiðˈiðəs
coincidíem € coincidir € VMII1P00 € kuinsiðˈiəm
coincidien € coincidir € VMII3P00 € kuinsiðˈiən
coincidies € coincidir € VMII2S00 € kuinsiðˈiəs
coincidíeu € coincidir € VMII2P00 € kuinsiðˈiəw
coincidim € coincidir € VMIP1P00 € kuinsiðˈim
coincidim € coincidir € VMM01P00 € kuinsiðˈim
coincidim € coincidir € VMSP1P00 € kuinsiðˈim
coincidint € coincidir € VMG00000 € kuinsiðˈin
coincidir € coincidir € VMN00000 € kuinsiðˈi
coincidirà € coincidir € VMIF3S00 € kuinsiðiɾˈa
coincidiran € coincidir € VMIF3P00 € kuinsiðiɾˈan
coincidiràs € coincidir € VMIF2S00 € kuinsiðiɾˈas
coincidiré € coincidir € VMIF1S00 € kuinsiðiɾˈe
coincidirem € coincidir € VMIF1P00 € kuinsiðiɾˈɛm
coincidírem € coincidir € VMIS1P00 € kuinsiðˈiɾəm
coincidiren € coincidir € VMIS3P00 € kuinsiðˈiɾən
coincidires € coincidir € VMIS2S00 € kuinsiðˈiɾəs
coincidireu € coincidir € VMIF2P00 € kuinsiðiɾˈɛw
coincidíreu € coincidir € VMIS2P00 € kuinsiðˈiɾəw
coincidiria € coincidir € VMCC1S00 € kuinsiðiɾˈiə
coincidiríem € coincidir € VMCC1P00 € kuinsiðiɾˈiəm
coincidirien € coincidir € VMCC3P00 € kuinsiðiɾˈiən
coincidiries € coincidir € VMCC2S00 € kuinsiðiɾˈiəs
coincidiríeu € coincidir € VMCC2P00 € kuinsiðiɾˈiəw
coincidís € coincidir € VMSI1S01 € kuinsiðˈis
coincidíssim € coincidir € VMSI1P02 € kuinsiðˈisim
coincidissin € coincidir € VMSI3P02 € kuinsiðˈisin
coincidissis € coincidir € VMSI2S02 € kuinsiðˈisis
coincidíssiu € coincidir € VMSI2P02 € kuinsiðˈisiw
coincidit € coincidir € VMP00SM0 € kuinsiðˈit
coincidits € coincidir € VMP00PM0 € kuinsiðˈits
coincidiu € coincidir € VMIP2P00 € kuinsiðˈiw
coincidiu € coincidir € VMM02P00 € kuinsiðˈiw
coincidiu € coincidir € VMSP2P00 € kuinsiðˈiw
